student_id,name,subject,slot,section_label,status
10206,학생32,현대사회와 윤리,d,현대사회와 윤리_d_2,assigned
10206,학생32,정치,b,정치_b_2,assigned
10206,학생32,융합과학 탐구,a,융합과학 탐구_a_1,assigned
10208,학생33,현대사회와 윤리,c,현대사회와 윤리_c_2,assigned
10208,학생33,정치,d,정치_d_1,assigned
10208,학생33,화학,a,화학_a_1,assigned
10209,학생34,현대사회와 윤리,d,현대사회와 윤리_d_1,assigned
10209,학생34,화학,a,화학_a_1,assigned
10209,학생34,융합과학 탐구,b,융합과학 탐구_b_1,assigned
10211,학생35,현대사회와 윤리,a,현대사회와 윤리_a_2,assigned
10211,학생35,물리학,c,물리학_c_1,assigned
10211,학생35,기하,b,기하_b_1,assigned
10212,학생36,화학,b,화학_b_1,assigned
10212,학생36,물리학,d,물리학_d_1,assigned
10212,학생36,기하,a,기하_a_2,assigned
10213,학생37,세계시민과 지리,d,세계시민과 지리_d_1,assigned
10213,학생37,역사로 탐구하는 현대 세계,b,역사로 탐구하는 현대 세계_b_1,assigned
10213,학생37,융합과학 탐구,c,융합과학 탐구_c_1,assigned
10214,학생38,화학,b,화학_b_1,assigned
10214,학생38,물리학,a,물리학_a_1,assigned
10214,학생38,융합과학 탐구,c,융합과학 탐구_c_1,assigned
10215,학생39,화학,c,화학_c_1,assigned
10215,학생39,물리학,a,물리학_a_1,assigned
10215,학생39,기하,d,기하_d_1,assigned
10216,학생40,현대사회와 윤리,b,현대사회와 윤리_b_2,assigned
10216,학생40,정치,c,정치_c_1,assigned
10216,학생40,역사로 탐구하는 현대 세계,d,역사로 탐구하는 현대 세계_d_1,assigned
10217,학생41,화학,d,화학_d_1,assigned
10217,학생41,기하,a,기하_a_1,assigned
10217,학생41,융합과학 탐구,b,융합과학 탐구_b_1,assigned
10218,학생42,현대사회와 윤리,c,현대사회와 윤리_c_1,assigned
10218,학생42,세계시민과 지리,a,세계시민과 지리_a_2,assigned
10218,학생42,역사로 탐구하는 현대 세계,d,역사로 탐구하는 현대 세계_d_1,assigned
10219,학생43,화학,a,화학_a_1,assigned
10219,학생43,물리학,c,물리학_c_1,assigned
10219,학생43,기하,b,기하_b_1,assigned
10220,학생44,현대사회와 윤리,c,현대사회와 윤리_c_2,assigned
10220,학생44,정치,d,정치_d_1,assigned
10220,학생44,세계시민과 지리,a,세계시민과 지리_a_1,assigned
10221,학생45,정치,a,정치_a_1,assigned
10221,학생45,세계시민과 지리,d,세계시민과 지리_d_1,assigned
10221,학생45,역사로 탐구하는 현대 세계,b,역사로 탐구하는 현대 세계_b_2,assigned
10222,학생46,현대사회와 윤리,c,현대사회와 윤리_c_1,assigned
10222,학생46,정치,d,정치_d_1,assigned
10222,학생46,화학,a,화학_a_1,assigned
